Team,Seed,Seed_Prediction,Seed_Difference
TCU,9,11,2
Samford,13,13,0
Purdue,1,1,0
Oakland,14,15,1
BYU,6,8,2
Marquette,2,3,1
Vermont,13,13,0
Connecticut,1,1,0
Gonzaga,5,10,5
Long Beach St.,15,15,0
Stetson,16,16,0
Yale,13,13,0
Illinois,3,5,2
Mississippi St.,8,9,1
N.C. State,11,11,0
Saint Mary's,5,11,6
Clemson,6,9,3
Florida Atlantic,8,8,0
Akron,14,15,1
Wagner,16,16,0
Grambling St.,16,16,0
Dayton,7,9,2
Iowa St.,2,3,1
Drake,10,12,2
Colgate,14,15,1
Tennessee,2,3,1
Nevada,10,8,-2
North Carolina,1,3,2
Alabama,4,8,4
Houston,1,1,0
Saint Peter's,15,16,1
McNeese St.,12,12,0
San Diego St.,5,5,0
Kansas,4,6,2
Duquesne,11,11,0
Utah St.,8,6,-2
Grand Canyon,12,12,0
Texas A&M,9,10,1
Longwood,16,16,0
Wisconsin,5,6,1
Auburn,4,2,-2
James Madison,12,12,0
Kentucky,3,4,1
Michigan St.,9,9,0
UAB,12,15,3
South Carolina,6,4,-2
Charleston,13,13,0
Texas,7,9,2
Texas Tech,6,8,2
Morehead St.,14,14,0
Baylor,3,3,0
Colorado,10,6,-4
Nebraska,8,8,0
Duke,4,3,-1
New Mexico,11,4,-7
Florida,7,8,1
Washington St.,7,10,3
Oregon,11,6,-5
Creighton,3,3,0
Colorado St.,10,5,-5
Western Kentucky,15,14,-1
South Dakota St.,15,16,1
Northwestern,9,8,-1
Arizona,2,2,0
